lead_id,company_name,category,industry,employee_band,segment,icp_fit_score,source_channel,created_date,stage,signal_score,engagement_score,lead_score,owner_rep,mql_date,sql_date,opp_created_date,deal_value_monthly_usd,closed_date,outcome,lost_reason
1001,Lumen Outdoor,Baby,Home & Family,1-10,Beachhead,86.97,Signal-scored inbound,2026-02-21,Lead,4.79,7.0,70.16,A. Chouhan,,,,,,,
1002,Ember Beauty,Kitchen,Home & Family,1-10,Beachhead,75.47,Cold email sequence,2026-02-09,Lead,6.19,2.8,57.16,S. Kapoor,,,,,,,
1003,Marigold Kitchen Co,Kitchen,Home & Family,1-10,Beachhead,70.4,Referral,2026-02-09,Lead,4.16,7.0,61.64,A. Chouhan,,,,,,,
1004,Driftwood Goods Co,Skin,Health & Beauty,11-50,Beachhead,83.83,Signal-scored inbound,2026-02-08,Lead,5.53,2.8,58.52,R. Iyer,,,,,,,
1005,Bluebell Studio,Baby,Home & Family,1-10,Beachhead,97.53,Signal-scored inbound,2026-02-25,Lead,9.01,7.0,87.04,S. Kapoor,,,,,,,
1006,Bluebell Studio,Baby,Home & Family,1-10,Beachhead,97.53,Content/organic,2026-02-08,MQL,9.01,7.0,87.04,S. Kapoor,2026-02-12,,,,,,
1007,Hearthstone Baby,Gadgets,Consumer Electronics,11-50,Core ICP,62.5,Cold email sequence,2026-02-03,MQL,3.0,7.0,55.0,S. Kapoor,2026-02-05,,,,,,
1008,Amberlight Studio,Gadgets,Consumer Electronics,1-10,Beachhead,77.4,Cold email sequence,2026-02-26,Lead,6.96,2.8,60.24,A. Chouhan,,,,,,,
1009,Ember Gadgets,Outdoor,Lifestyle & Outdoor,1-10,Core ICP,68.75,Signal-scored inbound,2026-02-06,MQL,9.5,7.0,77.0,A. Chouhan,2026-02-07,,,,,,
1010,Hearthstone Baby,Gadgets,Consumer Electronics,11-50,Core ICP,62.5,Content/organic,2026-02-20,MQL,3.0,5.6,50.8,R. Iyer,2026-02-26,,,,,,
1011,Larkspur Outdoor,Kitchen,Home & Family,51-200,Core ICP,58.08,Signal-scored inbound,2026-02-17,Lead,7.23,7.0,65.92,S. Kapoor,,,,,,,
1012,Solace Skin Co,Skin,Health & Beauty,1-10,Beachhead,88.2,Outbound LinkedIn,2026-02-03,Lead,5.28,2.8,59.52,A. Chouhan,,,,,,,
1013,Silverline Skin Co,Pet,Lifestyle & Outdoor,201-500,Adjacent,32.95,Signal-scored inbound,2026-02-22,Lead,7.18,7.0,55.72,R. Iyer,,,,,,,
1014,Lumen Collective,Baby,Home & Family,201-500,Core ICP,54.7,Referral,2026-02-13,MQL,3.88,2.8,41.92,S. Kapoor,2026-02-14,,,,,,
1015,Verdant Naturals,Baby,Home & Family,11-50,Beachhead,85.15,Signal-scored inbound,2026-02-20,MQL,6.06,5.6,69.04,A. Chouhan,2026-02-25,,,,,,
1016,Northfield Kitchen Co,Gadgets,Consumer Electronics,11-50,Core ICP,67.0,Outbound LinkedIn,2026-02-03,MQL,4.8,2.8,49.6,R. Iyer,2026-02-09,,,,,,
1017,Wren & Co Studio,Baby,Home & Family,11-50,Beachhead,88.3,Cold email sequence,2026-02-02,Closed Lost,7.32,2.8,65.68,S. Kapoor,2026-02-08,2026-02-17,2026-02-24,950.0,2026-03-07,Lost,Unresponsive after SQL
1018,Cascade Supply Co,Outdoor,Lifestyle & Outdoor,1-10,Core ICP,58.3,Outbound LinkedIn,2026-02-14,MQL,5.32,7.0,60.28,A. Chouhan,2026-02-20,,,,,,
1019,Foxglove Goods Co,Outdoor,Lifestyle & Outdoor,1-10,Core ICP,54.88,Signal-scored inbound,2026-02-13,SQL,3.95,5.6,50.6,R. Iyer,2026-02-19,2026-02-24,,,,,
1020,Coral & Co Kitchen Co,Pet,Lifestyle & Outdoor,1-10,Core ICP,63.8,Cold email sequence,2026-02-19,Lead,7.52,7.0,69.08,S. Kapoor,,,,,,,
1021,Driftwood Baby Goods,Outdoor,Lifestyle & Outdoor,11-50,Core ICP,56.08,Cold email sequence,2026-02-14,Lead,6.43,7.0,62.72,A. Chouhan,,,,,,,
1022,Amberlight Studio,Gadgets,Consumer Electronics,1-10,Beachhead,77.4,Signal-scored inbound,2026-02-18,Lead,6.96,7.0,72.84,R. Iyer,,,,,,,
1023,Thistle Collective,Kitchen,Home & Family,11-50,Core ICP,66.58,Cold email sequence,2026-02-10,Lead,4.63,7.0,61.52,S. Kapoor,,,,,,,
1024,Foxglove Works,Home,Home & Family,11-50,Beachhead,71.47,Content/organic,2026-02-18,Closed Lost,6.59,4.2,60.96,A. Chouhan,2026-02-22,2026-02-25,2026-03-01,1800.0,2026-03-18,Lost,Went with in-house fix
