lead_id,company,category,channel,owner,signal_score,created_date,stage,mql_date,sql_date,opp_date,closed_date,deal_value_monthly_usd,outcome,lost_reason
1001,Pinehaven Beauty,Beauty,Cold email sequence,A. Chouhan,4.45,2026-02-24,MQL,2026-03-02,,,,,,
1002,Tiny Sprout Supply Co,Beauty,Signal-scored inbound,A. Chouhan,4.51,2026-02-20,MQL,2026-02-22,,,,,,
1003,Coral & Co Supply Co,Gadgets,Outbound LinkedIn,R. Iyer,8.26,2026-02-01,Lead,,,,,,,
1004,Bluebell Supply Co,Kitchen,Signal-scored inbound,A. Chouhan,9.22,2026-02-11,SQL,2026-02-15,2026-02-22,,,,,
1005,Wren & Co Gadgets,Outdoor,Outbound LinkedIn,R. Iyer,3.51,2026-02-10,Lead,,,,,,,
1006,Cobalt Collective,Gadgets,Cold email sequence,A. Chouhan,7.3,2026-02-25,MQL,2026-02-26,,,,,,
1007,Cinderwood Beauty,Pet,Signal-scored inbound,S. Kapoor,8.42,2026-02-06,MQL,2026-02-08,,,,,,
1008,Coral & Co Baby,Home,Outbound LinkedIn,A. Chouhan,4.06,2026-02-13,MQL,2026-02-19,,,,,,
1009,Northfield Living,Beauty,Signal-scored inbound,A. Chouhan,8.23,2026-02-13,MQL,2026-02-15,,,,,,
1010,Windrow Living,Gadgets,Cold email sequence,R. Iyer,8.75,2026-02-21,SQL,2026-02-24,2026-03-06,,,,,
1011,Silverline Supply Co,Pet,Outbound LinkedIn,A. Chouhan,6.31,2026-02-03,Lead,,,,,,,
1012,Cinderwood Beauty II,Home,Cold email sequence,S. Kapoor,5.74,2026-02-03,MQL,2026-02-08,,,,,,
1013,Thistle Pet Supply,Beauty,Cold email sequence,A. Chouhan,7.43,2026-02-18,Lead,,,,,,,
1014,Foxglove Living,Baby,Signal-scored inbound,A. Chouhan,5.95,2026-02-24,Lead,,,,,,,
1015,Lumen Baby Goods,Baby,Referral,R. Iyer,8.47,2026-02-17,Lead,,,,,,,
1016,Aurora Collective,Home,Outbound LinkedIn,S. Kapoor,8.97,2026-02-20,SQL,2026-02-21,2026-02-28,,,,,
1017,Basalt Naturals,Gadgets,Signal-scored inbound,S. Kapoor,9.16,2026-02-03,Lead,,,,,,,
1018,Basalt Baby,Home,Signal-scored inbound,R. Iyer,9.15,2026-02-06,MQL,2026-02-11,,,,,,
1019,Cascade Kitchen Co,Skin,Outbound LinkedIn,S. Kapoor,7.22,2026-02-15,Lead,,,,,,,
1020,Halcyon Beauty,Gadgets,Signal-scored inbound,R. Iyer,3.14,2026-02-18,Closed Won,2026-02-20,2026-02-22,2026-02-25,2026-03-09,2200,Won,
1021,Northfield Pet Supply,Outdoor,Signal-scored inbound,A. Chouhan,7.7,2026-02-19,Lead,,,,,,,
1022,Northfield Works,Pet,Signal-scored inbound,A. Chouhan,7.28,2026-02-12,MQL,2026-02-16,,,,,,
1023,Voltix Beauty,Beauty,Outbound LinkedIn,R. Iyer,8.2,2026-02-04,MQL,2026-02-06,,,,,,
1024,Aurora Supply Co,Home,Signal-scored inbound,A. Chouhan,8.68,2026-02-03,SQL,2026-02-08,2026-02-18,,,,,
1025,Tiny Sprout Outdoor,Home,Outbound LinkedIn,R. Iyer,4.39,2026-02-13,Lead,,,,,,,
1026,Bluebell Goods Co,Beauty,Content/organic,R. Iyer,9.02,2026-02-26,MQL,2026-03-02,,,,,,
1027,Silverline Works,Home,Signal-scored inbound,A. Chouhan,9.3,2026-02-19,Lead,,,,,,,
1028,Voltix Living,Beauty,Signal-scored inbound,R. Iyer,6.27,2026-02-28,Lead,,,,,,,
1029,Voltix Baby,Home,Signal-scored inbound,A. Chouhan,7.39,2026-02-08,MQL,2026-02-13,,,,,,
1030,Cobalt Gadgets,Baby,Outbound LinkedIn,S. Kapoor,6.67,2026-02-11,Lead,,,,,,,
1031,Cascade Living,Gadgets,Signal-scored inbound,A. Chouhan,7.37,2026-02-10,Closed Won,2026-02-11,2026-02-14,2026-02-20,2026-03-03,1500,Won,
1032,Marigold Baby,Gadgets,Outbound LinkedIn,A. Chouhan,5.85,2026-02-18,Lead,,,,,,,
1033,Cobalt Home Co,Skin,Content/organic,A. Chouhan,9.1,2026-02-05,MQL,2026-02-06,,,,,,
1034,Aurora Pet Supply,Skin,Outbound LinkedIn,S. Kapoor,5.23,2026-02-22,Lead,,,,,,,
1035,Lumen Works,Skin,Referral,A. Chouhan,3.6,2026-02-14,Lead,,,,,,,
1036,Voltix Home Co,Kitchen,Cold email sequence,S. Kapoor,9.37,2026-02-06,Lead,,,,,,,
1037,Amberlight Supply Co,Beauty,Signal-scored inbound,S. Kapoor,8.88,2026-02-18,MQL,2026-02-21,,,,,,
1038,Aurora Supply Co II,Home,Signal-scored inbound,R. Iyer,8.84,2026-02-26,Lead,,,,,,,
1039,Voltix Collective,Gadgets,Cold email sequence,S. Kapoor,3.67,2026-02-25,Lead,,,,,,,
1040,Cinderwood Supply Co,Home,Content/organic,A. Chouhan,8.62,2026-02-26,Lead,,,,,,,
1041,Larkspur Supply Co,Beauty,Signal-scored inbound,R. Iyer,8.09,2026-02-14,Lead,,,,,,,
1042,Cinderwood Outdoor,Skin,Signal-scored inbound,S. Kapoor,3.7,2026-02-28,MQL,2026-03-04,,,,,,
1043,Basalt Studio,Kitchen,Signal-scored inbound,A. Chouhan,4.45,2026-02-22,MQL,2026-02-25,,,,,,
1044,Tiny Sprout Pet Supply,Kitchen,Cold email sequence,R. Iyer,7.42,2026-02-27,Lead,,,,,,,
1045,Hearthstone Beauty,Skin,Signal-scored inbound,R. Iyer,3.25,2026-02-20,Lead,,,,,,,
1046,Silverline Living,Pet,Outbound LinkedIn,S. Kapoor,3.75,2026-02-19,MQL,2026-02-20,,,,,,
1047,Hearthstone Kitchen Co,Kitchen,Outbound LinkedIn,S. Kapoor,8.99,2026-02-20,MQL,2026-02-21,,,,,,
1048,Verdant Naturals,Pet,Signal-scored inbound,S. Kapoor,4.92,2026-02-05,MQL,2026-02-11,,,,,,
1049,Rosemere Baby Goods,Skin,Outbound LinkedIn,A. Chouhan,4.98,2026-02-07,Lead,,,,,,,
1050,Windrow Living II,Outdoor,Outbound LinkedIn,S. Kapoor,4.39,2026-02-16,Lead,,,,,,,
1051,Wren & Co Baby Goods,Baby,Signal-scored inbound,S. Kapoor,7.11,2026-02-11,MQL,2026-02-13,,,,,,
1052,Northfield Kitchen Co,Home,Signal-scored inbound,A. Chouhan,9.4,2026-02-20,Lead,,,,,,,
1053,Tiny Sprout Studio,Pet,Referral,S. Kapoor,4.26,2026-02-23,MQL,2026-02-27,,,,,,
1054,Pinehaven Home Co,Baby,Cold email sequence,A. Chouhan,4.14,2026-02-23,Lead,,,,,,,
1055,Voltix Outdoor,Baby,Outbound LinkedIn,R. Iyer,7.34,2026-02-18,Lead,,,,,,,
1056,Foxglove Studio,Pet,Referral,S. Kapoor,5.9,2026-02-06,Lead,,,,,,,
1057,Meridian Studio,Skin,Cold email sequence,S. Kapoor,4.8,2026-02-25,Lead,,,,,,,
1058,Pinehaven Outdoor,Skin,Outbound LinkedIn,S. Kapoor,4.86,2026-02-09,Closed Won,2026-02-14,2026-02-18,2026-02-23,2026-03-05,1800,Won,
1059,Driftwood Living,Outdoor,Outbound LinkedIn,A. Chouhan,8.41,2026-02-13,Lead,,,,,,,
1060,Windrow Home Co,Pet,Outbound LinkedIn,R. Iyer,4.94,2026-02-13,Lead,,,,,,,
1061,Basalt Supply Co,Gadgets,Outbound LinkedIn,R. Iyer,5.83,2026-02-01,MQL,2026-02-07,,,,,,
1062,Ember Baby Goods,Outdoor,Referral,S. Kapoor,6.47,2026-02-13,Lead,,,,,,,
1063,Rosemere Home Co,Baby,Cold email sequence,A. Chouhan,8.63,2026-02-06,MQL,2026-02-10,,,,,,
1064,Halcyon Living,Kitchen,Cold email sequence,R. Iyer,4.81,2026-02-27,MQL,2026-02-28,,,,,,
1065,Silverline Gadgets,Kitchen,Signal-scored inbound,A. Chouhan,8.08,2026-02-21,MQL,2026-02-22,,,,,,
1066,Cascade Home Co,Home,Signal-scored inbound,R. Iyer,7.35,2026-02-19,Lead,,,,,,,
1067,Halcyon Pet Supply,Kitchen,Signal-scored inbound,S. Kapoor,9.26,2026-02-23,MQL,2026-02-25,,,,,,
1068,Glow Ritual Home Co,Skin,Outbound LinkedIn,R. Iyer,5.58,2026-02-23,MQL,2026-02-28,,,,,,
1069,Pinehaven Outdoor II,Baby,Cold email sequence,R. Iyer,8.53,2026-02-20,Lead,,,,,,,
1070,Wren & Co Gadgets II,Kitchen,Outbound LinkedIn,S. Kapoor,5.41,2026-02-17,Lead,,,,,,,
1071,Hearthstone Supply Co,Outdoor,Signal-scored inbound,R. Iyer,7.13,2026-02-27,MQL,2026-03-01,,,,,,
1072,Silverline Pet Supply,Outdoor,Outbound LinkedIn,S. Kapoor,6.85,2026-02-11,Lead,,,,,,,
1073,Basalt Baby II,Skin,Referral,A. Chouhan,7.88,2026-02-19,Lead,,,,,,,
1074,Ember Living,Beauty,Outbound LinkedIn,R. Iyer,4.18,2026-02-07,MQL,2026-02-10,,,,,,
1075,Larkspur Pet Supply,Beauty,Outbound LinkedIn,A. Chouhan,3.56,2026-02-24,Lead,,,,,,,
1076,Amberlight Outdoor,Outdoor,Cold email sequence,R. Iyer,5.91,2026-02-01,MQL,2026-02-03,,,,,,
1077,Northfield Naturals,Kitchen,Outbound LinkedIn,S. Kapoor,5.23,2026-02-24,Lead,,,,,,,
1078,Marigold Studio,Skin,Signal-scored inbound,A. Chouhan,3.78,2026-02-07,MQL,2026-02-13,,,,,,
1079,Foxglove Baby Goods,Gadgets,Signal-scored inbound,R. Iyer,4.8,2026-02-19,Lead,,,,,,,
1080,Thistle Naturals,Baby,Referral,R. Iyer,4.48,2026-02-06,MQL,2026-02-12,,,,,,
1081,Lumen Gadgets,Beauty,Outbound LinkedIn,S. Kapoor,9.14,2026-02-21,Lead,,,,,,,
1082,Meridian Beauty,Beauty,Outbound LinkedIn,R. Iyer,6.11,2026-02-11,MQL,2026-02-12,,,,,,
1083,Cinderwood Works,Baby,Referral,R. Iyer,6.2,2026-02-19,Lead,,,,,,,
1084,Voltix Skin Co,Home,Cold email sequence,R. Iyer,3.55,2026-02-08,MQL,2026-02-12,,,,,,
1085,Wren & Co Outdoor,Pet,Outbound LinkedIn,R. Iyer,4.93,2026-02-19,Lead,,,,,,,
1086,Verdant Gadgets,Baby,Content/organic,A. Chouhan,7.07,2026-02-09,Lead,,,,,,,
1087,Bluebell Outdoor,Home,Outbound LinkedIn,A. Chouhan,3.02,2026-02-15,Lead,,,,,,,
1088,Meridian Naturals,Beauty,Signal-scored inbound,S. Kapoor,4.84,2026-02-28,Lead,,,,,,,
1089,Rosemere Outdoor,Skin,Cold email sequence,S. Kapoor,6.83,2026-02-26,Lead,,,,,,,
1090,Driftwood Beauty,Gadgets,Cold email sequence,R. Iyer,8.37,2026-02-03,MQL,2026-02-06,,,,,,
1091,Basalt Naturals II,Outdoor,Signal-scored inbound,S. Kapoor,4.98,2026-02-13,Lead,,,,,,,
1092,Thistle Works,Outdoor,Signal-scored inbound,A. Chouhan,8.78,2026-02-24,SQL,2026-02-27,2026-03-04,,,,,
1093,Basalt Home Co,Skin,Outbound LinkedIn,A. Chouhan,6.06,2026-02-21,SQL,2026-02-24,2026-03-04,,,,,
1094,Meridian Baby,Outdoor,Outbound LinkedIn,R. Iyer,5.09,2026-02-04,Lead,,,,,,,
1095,Solace Supply Co,Outdoor,Signal-scored inbound,R. Iyer,8.29,2026-02-18,MQL,2026-02-19,,,,,,
1096,Solace Beauty,Pet,Referral,A. Chouhan,7.27,2026-02-18,SQL,2026-02-19,2026-02-26,,,,,
1097,Meridian Studio II,Beauty,Signal-scored inbound,S. Kapoor,3.85,2026-02-10,Lead,,,,,,,
1098,Coral & Co Works,Baby,Signal-scored inbound,S. Kapoor,6.96,2026-02-08,Lead,,,,,,,
1099,Verdant Home Co,Pet,Signal-scored inbound,A. Chouhan,6.0,2026-02-04,Lead,,,,,,,
1100,Aurora Works,Skin,Outbound LinkedIn,R. Iyer,5.7,2026-02-16,Lead,,,,,,,
1101,Northfield Studio,Home,Outbound LinkedIn,S. Kapoor,6.3,2026-02-05,Lead,,,,,,,
1102,Lumen Supply Co,Kitchen,Content/organic,S. Kapoor,4.74,2026-02-01,MQL,2026-02-04,,,,,,
1103,Windrow Works,Home,Outbound LinkedIn,R. Iyer,5.24,2026-02-18,Lead,,,,,,,
1104,Ember Studio,Kitchen,Referral,S. Kapoor,4.55,2026-02-13,SQL,2026-02-17,2026-02-26,,,,,
1105,Wren & Co Goods Co,Pet,Content/organic,S. Kapoor,9.38,2026-02-16,Lead,,,,,,,
1106,Aurora Living,Baby,Referral,R. Iyer,3.65,2026-02-15,MQL,2026-02-17,,,,,,
1107,Pinehaven Skin Co,Baby,Outbound LinkedIn,R. Iyer,5.2,2026-02-23,MQL,2026-02-24,,,,,,
1108,Cinderwood Goods Co,Kitchen,Cold email sequence,R. Iyer,8.67,2026-02-02,Lead,,,,,,,
1109,Northfield Naturals II,Gadgets,Cold email sequence,R. Iyer,9.36,2026-02-25,Lead,,,,,,,
1110,Cinderwood Beauty III,Outdoor,Signal-scored inbound,R. Iyer,8.87,2026-02-02,MQL,2026-02-03,,,,,,
